"","image","user","recallCount","tasselCount","type","question.ordinal","question.elapsed","difficulty","fmax","fmean","fmedian"
"67",1,29,6,6,1,1,67.857,2,0.962117280747276,0.779873883831344,0.81969346161026
"68",1,3,1,2,1,67,13.787,2,0.819362455726092,0.732689449088756,0.732689449088756
"69",1,30,4,22,1,26,169.52,2,0.91008174386921,0.750102782591353,0.768825712103023
"70",1,33,2,6,1,11,29.469,2,0.734177215189873,0.617551331071533,0.653511919135136
"71",1,34,4,10,1,17,74.891,2,0.955569487983281,0.862224920339086,0.863312615194981
"72",1,35,5,7,1,13,25.139,2,0.775260257195346,0.669049978877752,0.713384475648435
"73",1,36,3,7,1,23,12.018,2,0.800392038600724,0.682757730578894,0.657543147413625
"74",1,37,4,6,1,55,44.126,2,0.980632008154944,0.870824342642711,0.855965059644908
"75",1,39,2,7,1,29,26.91,2,0.98580121703854,0.858414301196882,0.832908074754384
"76",1,4,1,7,1,65,39.316,2,0.9009384359401,0.866565964359076,0.87869387755102
"77",1,40,3,7,1,26,92.428,2,0.925886143931257,0.873116125208206,0.872273434981472
"78",1,41,5,6,1,55,23.276,2,0.954521693674856,0.880757282397896,0.929922711874122
"79",1,43,3,6,1,2,19.375,2,0.94396186440678,0.716703724886783,0.759108776830853
"80",1,44,5,5,1,72,89.148,2,0.963730569948187,0.884420047644712,0.893805309734513
"81",1,45,4,8,1,70,65.819,2,0.959958398335933,0.876716768321136,0.874888070640659
"82",1,46,1,6,1,6,109.499,2,0.964352331606218,0.924462454116411,0.949757608024115
"83",1,47,1,6,1,75,23.798,2,0.956346917450366,0.785021791431242,0.84114395373534
"84",1,49,5,6,1,60,24.714,2,0.923573735199139,0.761880951138464,0.80868670737505
"85",1,51,1,5,1,45,11.57,2,0.891902004454343,0.725459962718015,0.684664238892935
"86",1,52,2,3,1,47,14.198,2,0.810232004759072,0.656804147377591,0.636195197521301
"87",1,53,4,6,1,65,49.717,2,0.959143303804065,0.854905447728429,0.89962015639187
"88",1,54,5,6,1,6,49.992,2,0.905309250136836,0.750548666205278,0.797682002344785
"89",1,55,2,6,1,62,15.562,2,0.915401301518438,0.758314679492057,0.81066628852448
"90",1,56,5,7,1,38,24.803,2,0.944033790918691,0.666402455250397,0.641743391539688
"91",1,57,3,7,1,66,52.803,2,0.976364567332309,0.878737570018411,0.950102303023623
"92",1,58,0,8,1,68,109.092,2,0.822832151300236,0.667397881781507,0.735730447023717
"94",1,60,2,8,1,66,27.131,2,0.925359223300971,0.836008839877969,0.847652871109049
"95",1,61,4,7,1,79,16.37,2,0.924884346422808,0.86507841219585,0.905907768862841
"96",1,62,2,10,1,21,86.238,2,0.975487442337263,0.881413483336462,0.903820639125656
"97",1,63,3,14,1,1,186.515,2,0.953407329842932,0.836825075515632,0.810520053507144
"98",1,64,2,8,1,5,77.973,2,0.896594894561598,0.758981104413176,0.797256217283414
"99",1,65,4,7,1,23,95.294,2,0.950777952755905,0.867006358478688,0.865316618450659
"100",1,66,5,7,2,1,98.188,2,0.952879581151832,0.811313736148253,0.9006558567309
"101",1,67,4,7,2,18,74.66,2,0.944812268640931,0.82760661270777,0.865885146955942
"102",1,68,5,6,2,29,23.936,2,0.937300743889479,0.816138126849149,0.805628622142384
"103",1,69,2,6,2,32,62.843,2,0.927522580645161,0.889018862723218,0.912934794611536
"104",1,7,4,9,1,48,32.046,2,0.902305159165752,0.677756738127006,0.700447628014876
"105",1,71,6,7,2,16,100.649,2,0.920086393088553,0.867936720554346,0.895669243336829
"106",1,72,3,7,2,76,20.887,2,0.932440406199893,0.819199207977495,0.8268700386929
"107",1,73,2,6,2,69,26.505,2,0.831775700934579,0.773332433348722,0.78534847492936
"108",1,75,5,7,2,65,25.184,2,0.829724985371562,0.749436679839566,0.763503988894087
"109",1,76,4,7,2,42,78.262,2,0.957582463465553,0.828037520701975,0.861843593015949
"110",1,77,2,9,2,6,21.563,2,0.82719376124775,0.683659002382393,0.778057506597094
"111",1,8,3,7,1,8,10.322,2,0.704362606232295,0.590418879162954,0.630619785542191
"112",1,80,5,7,2,55,33.669,2,0.944591029023747,0.830288950489542,0.868810108450992
"113",1,81,3,6,2,59,24.279,2,0.943847619047619,0.876657318417689,0.897924089739947
"114",1,82,6,7,2,17,161.418,2,0.97172236503856,0.913237179202025,0.934661105909723
"115",1,83,3,6,2,7,24.503,2,0.921251348435814,0.824027126085438,0.868892295170917
"116",1,84,4,7,2,41,23.975,2,0.945147679324895,0.811552908723592,0.830457682032006
"117",1,85,4,7,2,39,91.902,2,0.969627835051546,0.7729343880369,0.832207328323112
"118",1,87,5,7,2,39,94.63,2,0.963730569948187,0.867499329288488,0.879771122452636
"119",1,89,2,10,2,71,19.614,2,0.919262757871878,0.800105403000444,0.811308901138639
"120",1,90,5,7,2,23,30.577,2,0.91008174386921,0.789055980243975,0.773195101795507
"121",1,91,2,6,2,31,28.625,2,0.961038961038961,0.863370933108133,0.852471000014043
"122",1,92,3,7,2,5,17.775,2,0.88268156424581,0.772793417187678,0.804234560106942
"123",1,94,1,7,2,4,114.914,2,0.867613571017826,0.805827095738965,0.811165467625899
"124",1,95,5,7,2,14,49.534,2,0.868138087153367,0.720336742885161,0.728300012845501
"125",1,96,4,6,2,76,11.352,2,0.870056497175141,0.712708605806298,0.742529302794902
"126",1,98,0,10,2,66,29.032,2,0.90556718061674,0.761129796158174,0.815500351280852
"127",10,1,3,6,1,78,25.172,1,0.957309660574412,0.895705593709411,0.918594403600469
"128",10,10,4,6,1,31,83.152,1,0.974629743589744,0.933948211128583,0.924678653801738
"129",10,101,3,6,2,63,75.098,1,0.984255967496191,0.946284385404331,0.945968468787662
"130",10,103,5,6,2,80,29.637,1,0.954644351464435,0.909152838910914,0.91651406301357
"131",10,104,4,6,2,6,40.574,1,0.944591029023747,0.893018974068722,0.889606325885114
"132",10,105,4,6,2,43,9.229,1,0.753117206982544,0.575547212421271,0.560438889943952
"133",10,106,5,6,2,47,23.866,1,0.898579646017699,0.839239004815963,0.846595928097828
"134",10,107,3,6,2,33,40.995,1,0.974185736275013,0.955592297523936,0.968540210441203
"135",10,109,3,6,2,61,49.667,1,0.955613577023499,0.928653323490261,0.926529208190099
"136",10,11,5,6,1,69,58.497,1,0.963193364437532,0.930442106020539,0.93685248439747
"137",10,110,3,6,2,64,16.951,1,0.843946666666667,0.804846018911611,0.814772854942466
"138",10,113,3,6,2,4,28.74,1,0.912602949208083,0.87978728216671,0.871397051594509
"139",10,114,6,6,2,25,18.405,1,0.93048128342246,0.873585960228348,0.872740717024569
"140",10,115,1,6,2,65,18.815,1,0.94127668613914,0.914331626809983,0.913131063302894
"141",10,116,1,6,2,36,32.293,1,0.962655601659751,0.884452116752099,0.874040916503588
"142",10,117,4,6,2,18,142.11,1,0.970133882595263,0.949522378381493,0.949511257039537
"143",10,118,2,6,2,47,22.394,1,0.870563460443938,0.859674030419186,0.861751456897401
"144",10,119,2,6,2,71,28.398,1,0.9879504048583,0.942935876371234,0.945679845290065
"145",10,12,4,6,1,43,28.963,1,0.945147679324895,0.90179439756187,0.902649115377178
"146",10,120,6,6,2,1,113.804,1,0.890122086570477,0.809221387358854,0.803121979162937
"147",10,121,5,6,2,2,86.91,1,0.824221046443269,0.779570410039305,0.79006270373774
"148",10,122,1,6,2,37,15.172,1,0.927362412493269,0.917023517319876,0.918290704700503
"149",10,124,1,6,2,38,70.763,1,0.939001593202337,0.908061829212936,0.907426979993238
"150",10,125,5,6,2,7,15.854,1,0.938543617021277,0.866142452492009,0.852443906036026
"151",10,126,6,6,2,19,36.852,1,0.978549540347293,0.854534729347748,0.86909078352153
"152",10,127,3,6,2,52,9.252,1,0.861047835990888,0.736699852152857,0.761530181849122
"153",10,128,1,6,2,7,122.575,1,0.984771573604061,0.958576666421673,0.961941268191268
"154",10,129,0,1,2,16,8.259,1,0.225754812563323,0.225754812563323,0.225754812563323
"155",10,130,3,6,2,38,21.248,1,0.974487429451001,0.866312216282572,0.862681377279928
"156",10,131,3,13,2,2,68.756,1,0.942763366860773,0.893351601925931,0.879534589426322
"157",10,132,0,6,3,64,21.149,1,0.912477808219178,0.784934242721965,0.79532969263184
"158",10,133,0,6,3,46,15.97,1,0.921478024959306,0.84467975800329,0.826711597808602
"159",10,134,1,4,3,77,20.385,1,0.781005095541401,0.719342093819453,0.761012089695195
"160",10,135,0,6,3,64,8.974,1,0.825412477286493,0.73414372636039,0.722500556091225
"161",10,136,6,6,3,66,15.051,1,0.875140607424072,0.684388192046493,0.659110231564114
"162",10,138,1,1,3,25,1.819,1,0.5805535841022,0.5805535841022,0.5805535841022
"163",10,139,3,6,3,44,43.92,1,0.888271261812118,0.873249381301029,0.876391994997442
"164",10,141,2,6,3,33,45.462,1,0.971339166237776,0.839875726513366,0.827975942233181
"165",10,142,1,1,3,70,4.06,1,0.176845943482224,0.176845943482224,0.176845943482224
"166",10,143,1,6,3,71,13.14,1,0.902566371681416,0.853113555552894,0.862785781262312
"167",10,144,1,6,3,76,28.544,1,0.848396770472895,0.741174105626187,0.753042402715053
"168",10,145,1,1,3,38,3.517,1,0.144712430426716,0.144712430426716,0.144712430426716
"169",10,147,5,6,3,48,16.613,1,0.710509348807221,0.635745733377068,0.655564229334721
"170",10,149,4,15,3,11,60.227,1,0.912452419793366,0.837806752252278,0.841063160043403
"171",10,150,6,6,3,15,29.769,1,0.931052912880812,0.885958605798233,0.88387297633873
"172",10,151,5,6,3,47,94.926,1,0.922413793103448,0.859444113116696,0.843831742098292
"173",10,152,2,3,3,8,7.158,1,0.851894374282434,0.647611313742424,0.654661224489796
"174",10,153,6,6,3,34,44.91,1,0.931052912880812,0.893240991650847,0.886934330983735
"175",10,154,0,6,3,19,15.013,1,0.902945736434109,0.84049680942084,0.825240899835834
"176",10,155,6,6,3,24,15.063,1,0.894416804864566,0.845177265079881,0.857795172863666
"177",10,156,1,6,3,3,17.141,1,0.890924369747899,0.802308982529154,0.805451620612291
"178",10,157,3,6,3,28,18.948,1,0.945118733509235,0.850912778769853,0.840490110482792
"179",10,158,1,6,3,1,24.222,1,0.881012331838565,0.688928917601078,0.710220708913369
"180",10,159,1,6,3,30,26.269,1,0.944493382742192,0.925692651030043,0.937403865848069
"181",10,160,1,6,3,18,18.233,1,0.884098820887142,0.821624778755053,0.808683775467776
"182",10,161,5,6,3,37,51.728,1,0.955613577023499,0.920660757235527,0.918334234721471
"183",10,17,1,6,1,45,74.602,1,0.954521693674856,0.933596229925415,0.933950121966437
"184",10,2,6,6,1,15,19.67,1,0.805256869772999,0.735585665427886,0.740469746091233
"185",10,20,6,6,1,72,18.179,1,0.84393063583815,0.773796451479705,0.784172512986072
"186",10,21,6,6,1,74,8.801,1,0.687664041994751,0.569016335901643,0.546747946021162
"187",10,23,2,6,1,58,17.793,1,0.913035499726925,0.822179756069375,0.83369182022571
"188",10,24,4,6,1,45,51.057,1,0.931052912880812,0.91333309293435,0.917343507902076
"189",10,25,6,6,1,58,26.597,1,0.961578400830737,0.939187865983366,0.957244581327991
"190",10,26,3,6,1,15,38.268,1,0.893007210205213,0.85681552889167,0.85526540259065
"191",10,27,2,6,1,38,29.908,1,0.965282237182807,0.924187682820612,0.938414219614713
"192",10,28,2,6,1,29,34.113,1,0.961974012474012,0.922820716020971,0.929489062826764
"193",10,29,4,6,1,60,21.703,1,0.938428874734607,0.89216159828939,0.886655581189107
"194",10,3,3,6,1,29,18.151,1,0.866882453151618,0.770528439928315,0.797137343399735
"195",10,30,3,15,1,36,60.244,1,0.974358974358974,0.890596049895364,0.888436999161269
"196",10,33,1,5,1,53,12.094,1,0.818641900121803,0.680717243182166,0.654157931516422
"197",10,34,4,6,1,21,57.101,1,0.981151299032094,0.939018017451628,0.939848991098991
"198",10,35,5,6,1,23,27.096,1,0.847262247838617,0.766843351671851,0.758299096947154
"199",10,36,3,6,1,36,190.325,1,0.912714907508161,0.826606979816172,0.829196728306459
"200",10,37,4,6,1,27,44.123,1,0.973832734735762,0.963827073488806,0.967916872891938
"201",10,39,2,6,1,20,16.241,1,0.911614668856048,0.868011495453819,0.879908201564339
"202",10,4,2,6,1,2,37.133,1,0.961714285714286,0.93411418792622,0.938364610386672
"203",10,40,4,6,1,50,69.306,1,0.966942148760331,0.941704980988646,0.943090904003649
"204",10,41,6,6,1,16,28.856,1,0.929909042268593,0.886485203636514,0.899164164491653
"205",10,43,3,6,1,17,112.216,1,0.954105703819989,0.885201077796375,0.884113486114486
"206",10,44,4,5,1,9,249.328,1,0.967767561983471,0.907470203296537,0.891352549889135
"207",10,45,2,6,1,72,41.287,1,0.978738508682329,0.92204252436772,0.914243472840054
"208",10,46,3,6,1,13,462.174,1,0.985,0.95808211932082,0.950093410206339
"209",10,47,0,6,1,51,18.824,1,0.947793248945148,0.898209285114377,0.901116502430499
"210",10,49,4,5,1,73,18.444,1,0.92444060475162,0.860958622369024,0.870694522868436
"211",10,51,1,5,1,68,12.796,1,0.830409356725146,0.709032405829007,0.760740127388535
"212",10,52,4,5,1,38,15.91,1,0.832457676590776,0.772030320487458,0.798076923076923
"213",10,53,5,6,1,22,45.843,1,0.945147679324895,0.92937562450645,0.933048737104233
"214",10,54,3,6,1,50,23.385,1,0.939654989384289,0.850746037187103,0.837880677296682
"215",10,55,1,6,1,29,29.292,1,0.975668032786885,0.933209244244792,0.944235607523421
"216",10,56,4,6,1,15,33.052,1,0.838474912485414,0.75454918740844,0.777416582595374
"217",10,57,2,6,1,80,21.919,1,0.964311041990669,0.913138741929765,0.909988191043726
"218",10,58,1,6,1,52,12.517,1,0.91796426637791,0.818451947545125,0.813439975090962
"219",10,6,0,1,1,70,1.105,1,0.197037037037037,0.197037037037037,0.197037037037037
"220",10,60,2,6,1,48,44.555,1,0.952920818038804,0.905031218994588,0.916975196161727
"221",10,61,2,6,1,41,75.43,1,0.959478895257947,0.918641721623612,0.925282006669567
"222",10,62,4,6,1,14,37.453,1,0.955613577023499,0.919175094933085,0.926915088126523
"223",10,63,5,12,1,72,29.997,1,0.907103825136612,0.822870946569277,0.820055300771036
"224",10,64,3,6,1,35,18.335,1,0.860022975301551,0.728397852327805,0.717645626143406
"225",10,65,4,6,1,14,61.047,1,0.923573735199139,0.854741609914868,0.852414160491548
"226",10,66,4,6,2,65,87.489,1,0.9648033126294,0.910358200113162,0.904405048029769
"227",10,67,4,5,2,32,31.497,1,0.950131233595801,0.900626816683117,0.895027624309392
"228",10,68,4,6,2,11,24.488,1,0.931104925053533,0.911233196117594,0.914517598070463
"229",10,69,3,6,2,5,67.317,1,0.982706002034588,0.960149615466931,0.95780054284185
"230",10,7,3,7,1,14,39.05,1,0.878923766816143,0.81287901432232,0.85277276614777
"231",10,71,6,6,2,66,87.405,1,0.907103825136612,0.895036984352741,0.894104294801159
"232",10,72,6,6,2,72,37.479,1,0.952331063383971,0.897811951864978,0.894413764273613
"233",10,73,1,6,2,50,31.286,1,0.955929989550679,0.871343303509411,0.863654407800364
"234",10,75,6,6,2,67,15.596,1,0.869417750141323,0.80929062412725,0.814088613211468
"235",10,76,6,6,2,30,121.745,1,0.957247132429614,0.909736820778732,0.900745040514448
"236",10,77,2,6,2,2,13.458,1,0.779887396033269,0.650426466241782,0.682490026518815
"237",10,8,1,6,1,57,7.077,1,0.914684153005464,0.750247163463295,0.748845015907062
"238",10,80,1,6,2,19,36.456,1,0.932773917691074,0.919088735928601,0.923012650086769
"239",10,81,5,5,2,56,27.027,1,0.955067920585162,0.908777753576351,0.88641425389755
"240",10,82,4,4,2,4,284.705,1,0.958333333333333,0.949404497133471,0.948742856700804
"241",10,83,5,6,2,41,27.959,1,0.93446989877464,0.910823721227277,0.912440842902701
"242",10,84,5,6,2,67,15.031,1,0.931480686695279,0.872785176681158,0.888517605522885
"243",10,85,5,6,2,64,38.339,1,0.990408884401817,0.911341725641748,0.898967459987938
"244",10,87,0,6,2,78,23.945,1,0.95069610935857,0.928584402632192,0.939846272607715
"245",10,89,3,6,2,27,64.776,1,0.949027850761955,0.872740303839301,0.872119894135372
"246",10,90,3,3,2,1,94.741,1,0.902907295666484,0.81416917717984,0.854524627720504
"247",10,91,3,6,2,5,100.527,1,0.969072164948454,0.955077936556001,0.955145001616397
"248",10,92,5,9,2,73,40.22,1,0.895637769188294,0.836566399681912,0.831743414823552
"249",10,94,4,6,2,23,108.984,1,0.949967385586533,0.879207222269596,0.885929202057262
"250",10,95,3,5,2,22,39.693,1,0.903646408839779,0.84719319439675,0.84192240880139
"251",10,96,1,6,2,15,15.383,1,0.839950848449386,0.779409987309412,0.781322868777843
"252",10,98,2,6,2,28,14.854,1,0.920707475622969,0.859981998526464,0.871266969612007
"253",11,1,3,5,1,21,50.288,2,0.963730569948187,0.866847181618698,0.888771753422539
"254",11,10,3,4,1,1,19.902,2,0.93065308310992,0.78270984779735,0.773040664133952
"255",11,101,2,6,2,31,40.864,2,1,0.905041617577964,0.892122591148773
"256",11,103,2,6,2,70,24.711,2,0.923969795037756,0.867974627225294,0.870623068148894
"257",11,104,2,5,2,60,27.724,2,0.873604980192417,0.84433675009676,0.866121624347926
"258",11,105,3,6,2,79,14.328,2,0.719831059129305,0.534301316837899,0.559027240165567
"259",11,106,3,4,2,60,11.388,2,0.916576381365114,0.796397294978879,0.780084191399152
"260",11,107,1,4,2,40,18.93,2,0.941238750661726,0.859372832095917,0.871627266059668
"261",11,109,2,5,2,58,39.056,2,0.960962539021852,0.908390813634285,0.929772167846665
"262",11,11,2,5,1,9,218.749,2,0.959417273673257,0.935559497741543,0.937560003649188
"263",11,110,3,4,2,17,17.325,2,0.839907192575406,0.736593121710838,0.746233340134666
"264",11,113,1,5,2,16,23.405,2,0.92545434900054,0.825154366386666,0.80908559804932
"265",11,114,1,5,2,40,26.101,2,0.895075376884422,0.843390469300454,0.854077945318973
"266",11,115,2,4,2,37,11.02,2,0.897989977728285,0.825111560761957,0.839797736746617
"267",11,116,1,5,2,10,107.273,2,0.905666666666667,0.872433238477562,0.896628065024451
"268",11,117,4,4,2,57,49.778,2,0.925886143931257,0.847677523422502,0.873026965270152
"269",11,118,2,5,2,35,9.672,2,0.839853687315634,0.687297967262098,0.717470537811717
"270",11,119,0,6,2,73,23.469,2,0.969363589479113,0.920871811252501,0.916438729173895
"271",11,12,3,5,1,55,19.871,2,0.949579831932773,0.828203902645635,0.812134913284531
"272",11,120,4,5,2,69,17.579,2,0.858447488584475,0.685159476000238,0.690720395114536
"273",11,121,4,5,2,1,31.488,2,0.817966903073286,0.673056410442491,0.651415083634053
"274",11,122,0,4,2,10,13.01,2,0.910879518072289,0.858282500938394,0.858077682618284
"275",11,124,2,6,2,22,12.866,2,0.940467091295117,0.798029097451209,0.778140370063731
"276",11,125,4,5,2,36,16.517,2,0.870056497175141,0.787275234426367,0.797416957107269
"277",11,126,3,5,2,74,39.158,2,0.962117280747276,0.883188704760663,0.913065159605944
"278",11,127,2,5,2,63,15.599,2,0.886927374301676,0.727617521744695,0.734314708939709
"279",11,128,1,6,2,78,20.08,2,0.916418528610354,0.856012160535363,0.854415657366149
"280",11,129,1,3,2,59,3.109,2,0.687817790530846,0.552054212508997,0.523554800339847
"281",11,130,2,6,2,3,22.814,2,0.915371335504886,0.691802171192156,0.691615458705376
"282",11,131,3,6,2,52,20.712,2,0.956570981210856,0.862755776929404,0.842110060873843
"283",11,132,2,4,3,73,25.443,2,0.898781979977753,0.750361273331437,0.73485855599047
"284",11,133,1,6,3,77,11.39,2,0.857784971098266,0.74785340013901,0.738924070826448
"285",11,134,2,3,3,14,8.007,2,0.787878787878788,0.712299223942105,0.728329228775113
"286",11,135,1,7,3,62,8.544,2,0.877312145289444,0.660944215198421,0.610505085024847
"287",11,136,0,5,3,21,132.884,2,0.93578263185935,0.860295323420849,0.840753544229643
"288",11,138,0,3,3,3,7.774,2,0.352644110275689,0.27170667052246,0.27170667052246
"289",11,139,2,5,3,38,22.124,2,0.87260428410372,0.768023256278794,0.741181188979108
"290",11,141,2,6,3,20,19.091,2,0.907873487348735,0.714082028354517,0.698340274656679
"291",11,142,0,1,3,46,6.236,2,0.651166321601104,0.651166321601104,0.651166321601104
"292",11,143,3,5,3,40,21.698,2,0.916576381365114,0.808380456379692,0.791784945002729
"293",11,144,1,4,3,48,6.247,2,0.702983138780804,0.483332914955046,0.440256768770515
"294",11,145,3,7,3,37,12.248,2,0.552821997105644,0.419728840947985,0.435647032383287
"295",11,147,3,4,3,65,11.932,2,0.743718592964824,0.584815289798218,0.578411408016444
"296",11,149,3,14,3,58,10.112,2,0.88268156424581,0.778618776510587,0.768842507332378
"297",11,150,3,4,3,12,19.024,2,0.877179749715586,0.824004930932364,0.844340621927569
"298",11,151,2,5,3,2,106.763,2,0.909808638600328,0.833007701007427,0.851937869578824
"299",11,152,3,4,3,9,10.621,2,0.687664041994751,0.520080889952817,0.505231689088191
"300",11,153,1,4,3,52,16.027,2,0.820300661455201,0.720286391676086,0.693968575619224
"301",11,154,1,4,3,64,11.165,2,0.751459747172322,0.679576208811761,0.715743513000269
"302",11,155,1,5,3,33,6.982,2,0.818665091553455,0.664596166357839,0.65608467101932
"303",11,156,2,7,3,41,14.782,2,0.860080506037953,0.769654998334153,0.771521399278468
"304",11,157,1,6,3,43,13.541,2,0.833819241982507,0.754562223118407,0.749174607113317
"305",11,158,0,4,3,42,40.967,2,0.600718801996672,0.479992300825406,0.492264667763218
"306",11,159,1,4,3,24,16.81,2,0.974148794253463,0.92335057753735,0.951906977728188
"307",11,160,1,4,3,29,12.695,2,0.878295008412788,0.750661928311845,0.76730963771989
"308",11,161,4,4,3,69,161.825,2,0.929336188436831,0.872016347613176,0.867599895125583
"309",11,17,1,5,1,16,75.588,2,0.970455200823893,0.916122800632346,0.928075525547691
"310",11,2,2,4,1,66,133.594,2,0.916486103542234,0.744536795750443,0.719535773889547
